,index,nneg,npos,ntot
664,CHEMBL2323,31,84,115
665,CHEMBL2325,0,39,39
666,CHEMBL2326,81,423,504
667,CHEMBL2327,130,731,861
668,CHEMBL2329,10,192,202
669,CHEMBL233,590,2830,3420
670,CHEMBL2331,214,119,333
671,CHEMBL2331045,0,28,28
672,CHEMBL2331046,0,28,28
673,CHEMBL2331047,1,19,20
674,CHEMBL2331053,18,10,28
675,CHEMBL2331058,0,11,11
676,CHEMBL2331066,1,11,12
677,CHEMBL2331068,2,18,20
678,CHEMBL2331070,0,32,32
679,CHEMBL2334,255,800,1055
680,CHEMBL2335,40,323,363
681,CHEMBL2336,17,190,207
682,CHEMBL2337,122,619,741
683,CHEMBL234,355,2735,3090
684,CHEMBL2340,1,11,12
685,CHEMBL2343,112,33,145
686,CHEMBL2345,135,187,322
687,CHEMBL2346485,4,11,15
688,CHEMBL2346488,11,20,31
689,CHEMBL2349,58,26,84
690,CHEMBL235,581,1729,2310
691,CHEMBL236,813,2584,3397
692,CHEMBL2360,64,50,114
693,CHEMBL2361,116,41,157
694,CHEMBL2363,440,636,1076
695,CHEMBL2364701,3,30,33
696,CHEMBL2366,47,20,67
697,CHEMBL2366401,0,29,29
698,CHEMBL2366408,43,52,95
699,CHEMBL2366420,0,10,10
700,CHEMBL2366425,0,11,11
701,CHEMBL2366432,0,12,12
702,CHEMBL2366433,4,20,24
703,CHEMBL2366437,10,18,28
704,CHEMBL2366450,0,25,25
705,CHEMBL2366455,5,20,25
706,CHEMBL2366456,25,90,115
707,CHEMBL2366461,57,46,103
708,CHEMBL2366467,6,15,21
709,CHEMBL2366468,1,10,11
710,CHEMBL2366470,3,21,24
711,CHEMBL2366471,5,37,42
712,CHEMBL2366472,8,47,55
713,CHEMBL2366481,49,46,95
714,CHEMBL2366489,0,12,12
715,CHEMBL2366498,0,10,10
716,CHEMBL2366510,0,10,10
717,CHEMBL2366512,13,90,103
718,CHEMBL2366516,1,10,11
719,CHEMBL2366517,7,80,87
720,CHEMBL2366581,56,14,70
721,CHEMBL2366588,0,20,20
722,CHEMBL2367,15,39,54
723,CHEMBL237,550,2623,3173
